                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0135,                 3.6543,                 1.3816,                0.31229,                0.38185,                0.35865,                0.26993,                0.84538,                 3.2099,                 1.2389,             0.00018448,             0.00018448,             0.00018448
                      2,                0.94627,                 2.4954,                 1.2739,                0.59763,                0.61266,                 0.6433,                0.49752,                0.78747,                 2.4165,                 1.1454,             0.00035517,             0.00035517,             0.00035517
                      3,                0.92118,                 2.0526,                 1.2449,                0.69986,                0.70969,                0.76884,                 0.6074,                0.79402,                 2.0585,                 1.1583,             0.00051118,             0.00051118,             0.00051118
                      4,                0.89419,                 1.7438,                 1.2278,                0.78054,                0.76982,                0.85883,                 0.6818,                0.77019,                 1.4808,                 1.1131,             0.00048995,             0.00048995,             0.00048995
                      5,                0.87717,                 1.5234,                 1.2029,                0.80293,                0.74253,                 0.8331,                0.65337,                0.77843,                 1.4826,                 1.1331,             0.00048995,             0.00048995,             0.00048995
                      6,                0.83911,                 1.3179,                 1.1808,                0.86618,                0.83698,                0.89951,                0.74007,                0.71149,                 1.0659,                   1.07,             0.00046793,             0.00046793,             0.00046793
                      7,                0.80304,                 1.2042,                 1.1538,                0.87699,                0.84337,                0.91253,                0.75378,                0.69955,                0.93968,                 1.0502,             0.00044591,             0.00044591,             0.00044591
                      8,                0.78994,                 1.1022,                 1.1406,                0.91656,                0.83346,                0.92566,                0.74965,                0.72106,                0.91127,                  1.076,             0.00042389,             0.00042389,             0.00042389
                      9,                0.76854,                 1.0346,                 1.1231,                0.93021,                0.87466,                0.94806,                0.78846,                0.66038,                 0.7586,                 1.0236,             0.00040188,             0.00040188,             0.00040188
                     10,                0.74423,                0.95318,                  1.113,                0.91131,                0.84341,                0.92919,                0.78113,                0.63796,                0.72824,                 1.0141,             0.00037986,             0.00037986,             0.00037986
                     11,                0.73284,                0.91156,                 1.1044,                0.90995,                0.87469,                0.93899,                0.77889,                0.66637,                0.69387,                 1.0277,             0.00035784,             0.00035784,             0.00035784
                     12,                0.70753,                0.83858,                 1.0846,                0.94323,                0.86387,                0.94462,                0.80017,                0.64674,                 0.6506,                 1.0028,             0.00033582,             0.00033582,             0.00033582
                     13,                  0.705,                0.80705,                 1.0847,                0.92101,                0.92061,                0.95157,                0.80445,                0.61246,                0.60659,                 0.9977,             0.00031381,             0.00031381,             0.00031381
                     14,                0.68303,                0.77475,                 1.0744,                0.92866,                0.88727,                0.94207,                0.80201,                0.62819,                0.57847,                  1.007,             0.00029179,             0.00029179,             0.00029179
                     15,                0.66732,                0.73389,                  1.064,                0.91182,                0.92917,                 0.9491,                0.81026,                 0.5968,                0.55776,                0.97797,             0.00026977,             0.00026977,             0.00026977
                     16,                0.52965,                0.51607,                0.98983,                0.94371,                0.91247,                0.95493,                0.81394,                0.61298,                0.52713,                 0.9891,             0.00024775,             0.00024775,             0.00024775
                     17,                0.52112,                0.47619,                0.97964,                0.94469,                0.93324,                0.95815,                0.82638,                0.57541,                0.50011,                0.97711,             0.00022574,             0.00022574,             0.00022574
                     18,                0.49046,                0.43963,                0.95957,                0.92895,                 0.9246,                0.95448,                0.82106,                 0.5646,                0.48909,                0.96747,             0.00020372,             0.00020372,             0.00020372
                     19,                0.47729,                0.41857,                0.96127,                0.94033,                0.88757,                0.94845,                0.81353,                0.58009,                0.50653,                0.97675,              0.0001817,              0.0001817,              0.0001817
                     20,                0.46574,                0.38912,                0.94567,                0.95154,                 0.8993,                0.95744,                0.82568,                0.57741,                0.48588,                0.97583,             0.00015968,             0.00015968,             0.00015968
                     21,                0.45103,                0.37888,                0.93635,                0.96357,                0.91655,                0.96272,                0.83609,                0.55858,                0.45091,                0.96406,             0.00013767,             0.00013767,             0.00013767
                     22,                0.43111,                 0.3506,                0.92222,                0.95482,                0.92318,                0.95868,                0.84025,                 0.5523,                0.44173,                0.96787,             0.00011565,             0.00011565,             0.00011565
                     23,                0.42022,                0.33044,                0.91546,                0.93547,                0.92036,                0.95604,                0.83554,                0.54655,                0.44977,                0.95511,              9.363e-05,              9.363e-05,              9.363e-05
                     24,                 0.4104,                0.32265,                0.90916,                 0.9371,                0.93878,                0.96178,                0.84122,                0.55187,                0.42712,                0.95773,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     25,                0.39856,                0.30719,                0.90598,                 0.9573,                0.92718,                 0.9626,                0.84058,                0.54444,                0.41795,                0.95113,             4.9595e-05,             4.9595e-05,             4.9595e-05
